attributnamn	value	Definition
provtagningsmetod_tx	Bottenskrapa	Bottenskrapa med nät: Skrapan har en fyrkantig rektangulär metallram med bredden flera ggr. större än höjden. Den har två nät, ett inre 1-mm nät och ett yttre mycket grovmaskigt nät av kraftigare trådar som är till för att skydda 1-mm nätet (BIOTA)
provtagningsmetod_tx	Bottenslade_Natpase	Bottensläde med nätpåse (BIOTA)
provtagningsmetod_tx	Bulkprovtagare	Bulkprovtagare (bulk sampler) (DEPOSITION)
provtagningsmetod_tx	Dykning	Dykning (BIOTA)
provtagningsmetod_tx	EKMHUG	Ekmanhuggare (SEDIMENT)
provtagningsmetod_tx	Elfiske_Bat	Elfiske från båt (BIOTA)
provtagningsmetod_tx	Elfiske_Staende	Elfiske stående i vattendraget/vadande (BIOTA)
provtagningsmetod_tx	Engangsbailer_HDPE_GV	Provtagning av grundvatten med engångsbailer i HDPE-plast (GRUNDVATTEN)
provtagningsmetod_tx	FILTR_FALT_0,45	Vatten filtrerat genom ett 0,45 µm filter i fält (VATTEN)
provtagningsmetod_tx	FILTR_FALT_1	Vatten filtrerat genom ett 1 µm filter i fält (VATTEN)
provtagningsmetod_tx	FILTR_FALT_X	Vatten filtrerat i fält, porstorlek okänd (VATTEN)
provtagningsmetod_tx	FILTR_GLASFIB_FALT_0,7	Vatten filtrerat genom ett 0,7 µm glasfiberfilter i fält (VATTEN)
provtagningsmetod_tx	Falla	Fälla (BIOTA)
provtagningsmetod_tx	FiltrVatten_45um	Vatten filtrerat genom ett 45 µm filter (VATTEN)
provtagningsmetod_tx	Flaska_Kran_EgenBrunn	Provtagning ur tappkran kopplad till egen brunn  (GRUNDVATTEN)
provtagningsmetod_tx	GEMAX	Gemini maxcorer (SEDIMENT)
provtagningsmetod_tx	GEMINI	Geminicorer (SEDIMENT)
provtagningsmetod_tx	GRAVCO	Gravitycorer ospecad (SEDIMENT)
provtagningsmetod_tx	HVS	Högvolymprovtagare (LUFT/VATTEN)
